node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
45669,IN11B022,VNC,0.5651863822117252,-0.26866230557670495,0.5552309772052768,R,intrinsic neuron,gaba,position
49582,MNhm42,VNC,0.16155818325900834,-1.5432214055969047,0.2057895799990677,R,motor neuron,glutamate,position
49886,Sternal posterior rotator MN,motor,-0.6819786503410662,-0.9910639091318738,0.1021598272138229,L,motor neuron,glutamate,position
51546,IN19A042,VNC,0.9048060040088879,0.8836925276193732,-0.028930807837531273,R,intrinsic neuron,gaba,position
61001,ltm1-tibia MN,motor,-0.6403530307503458,-1.4301707661948195,0.8882359339310409,L,motor neuron,glutamate,position
68570,IN11B030,VNC,-0.4665677393290551,-0.16630203396677906,0.7756529981198627,L,intrinsic neuron,gaba,position
76087,SNpp42,sensory,-0.7505306338082881,-0.4757881815497926,0.47445188557577267,L,sensory neuron,acetylcholine,position
96565,Tr flexor MN,motor,0.5255652065820346,-2.058430318380285,0.7507978930030922,R,motor neuron,glutamate,position
100139,IN03A002,VNC,0.5333825380300511,0.5434715726339016,-0.18534425159656293,R,intrinsic neuron,acetylcholine,position
100167,AN07B040,VNC,-0.5542287552247619,0.010823997389561354,-0.1389079664993707,R,ascending neuron,acetylcholine,position
100306,IN20A.22A016,VNC,0.16389670121354322,-1.9189878334913064,0.8832248240284662,R,intrinsic neuron,acetylcholine,position
100352,IN13A021,VNC,-0.36233665335550136,1.3151824976304054,-0.569930232919496,L,intrinsic neuron,gaba,position
100492,IN03A009,VNC,-0.6257205898348276,0.5591062355299345,-0.0,L,intrinsic neuron,acetylcholine,position
100515,Sternotrochanter MN,motor,-0.5699970477181969,1.587987320726572,-0.33714747424522584,L,motor neuron,glutamate,position
100541,IN12A051,VNC,-0.26852867597930297,-0.3320695495439502,0.37569961309570055,L,intrinsic neuron,glutamate,position
100554,IN16B021,VNC,-0.48447410538092206,1.4239569899156268,-0.28723681961558184,L,intrinsic neuron,glutamate,position
